CodigoMesa;Descripcion;CodigoDepartamento;NombreDepartamento;CodigoProvincia;NombreProvincia;CodigoMunicipio;NombreMunicipio;CodigoLocalidad;NombreLocalidad;CodigoRecinto;NombreRecinto;NumeroMesa;InscritosHabilitados;Voto1;Voto2;Voto3;Voto4;Voto5;Voto6;Voto7;Voto8;Voto9;Voto10;Voto11;Voto12;Voto13;VotoValido;VotoBlanco;VotoNuloDirecto;VotoNuloDeclinacion;TotalVotoNulo;VotoEmitido;VotoValidoReal;VotoEmitidoReal
5019261;CONCEJAL;5;Potosí;11;José María Linares;1;Puna;1750;Suquicha;339;U.E. Fray Franco Valli Brogi De Suquicha;1;240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5019271;CONCEJAL;5;Potosí;11;José María Linares;1;Puna;1750;Suquicha;339;U.E. Fray Franco Valli Brogi De Suquicha;2;120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5019281;CONCEJAL;5;Potosí;11;José María Linares;1;Puna;1751;Esmeralda Baja;340;U.E. 20 de Octubre;1;240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5019291;CONCEJAL;5;Potosí;11;José María Linares;1;Puna;1751;Esmeralda Baja;340;U.E. 20 de Octubre;2;127;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5019301;CONCEJAL;5;Potosí;11;José María Linares;1;Puna;1753;Otavi;342;U.E. Otavi Simon Bolivar;1;240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5019311;CONCEJAL;5;Potosí;11;José María Linares;1;Puna;1753;Otavi;342;U.E. Otavi Simon Bolivar;2;240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5019321;CONCEJAL;5;Potosí;11;José María Linares;1;Puna;1753;Otavi;342;U.E. Otavi Simon Bolivar;3;230;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5019331;CONCEJAL;5;Potosí;11;José María Linares;1;Puna;1754;Kepallo;343;U.E. Mariscal Andres De Santa Cruz de Kepallo;1;240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5019341;CONCEJAL;5;Potosí;11;José María Linares;1;Puna;1754;Kepallo;343;U.E. Mariscal Andres De Santa Cruz de Kepallo;2;257;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5019351;CONCEJAL;5;Potosí;11;José María Linares;1;Puna;1755;Nuqui;344;Esc. De Nuqui;1;240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5019361;CONCEJAL;5;Potosí;11;José María Linares;1;Puna;1755;Nuqui;344;Esc. De Nuqui;2;61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5019371;CONCEJAL;5;Potosí;11;José María Linares;1;Puna;1756;Pacasi;345;Esc. Tomas Frias;1;240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5019381;CONCEJAL;5;Potosí;11;José María Linares;1;Puna;1756;Pacasi;345;Esc. Tomas Frias;2;240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5019391;CONCEJAL;5;Potosí;11;José María Linares;1;Puna;1756;Pacasi;345;Esc. Tomas Frias;3;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5019401;CONCEJAL;5;Potosí;11;José María Linares;1;Puna;1760;Vilacaya;349;U.E. Vilacaya;1;240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5019411;CONCEJAL;5;Potosí;11;José María Linares;1;Puna;1760;Vilacaya;349;U.E. Vilacaya;2;126;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5019421;CONCEJAL;5;Potosí;11;José María Linares;1;Puna;1766;Chillcani (Zona D);355;U.E. German Busch;1;152;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5019431;CONCEJAL;5;Potosí;11;José María Linares;1;Puna;1767;Inchasi;256;U.E. Inchasi;1;95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5019441;CONCEJAL;5;Potosí;11;José María Linares;1;Puna;1776;Sepulturas;364;Esc. Sepulturas;1;240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5019451;CONCEJAL;5;Potosí;11;José María Linares;1;Puna;1776;Sepulturas;364;Esc. Sepulturas;2;209;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5019461;CONCEJAL;5;Potosí;11;José María Linares;1;Puna;1777;Alkatuyo;365;U.E. Raul Perez De Alkatuyo;1;240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5019471;CONCEJAL;5;Potosí;11;José María Linares;1;Puna;1777;Alkatuyo;365;U.E. Raul Perez De Alkatuyo;2;179;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5019481;CONCEJAL;5;Potosí;11;José María Linares;1;Puna;2833;Pampa Tambo;471;U.E. Pampa Tambo;1;151;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5019491;CONCEJAL;5;Potosí;11;José María Linares;1;Puna;3042;Molino Pampa;531;U.E. Molino Pampa;1;229;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5019501;CONCEJAL;5;Potosí;11;José María Linares;1;Puna;3153;Turquiña;562;U.E. Turquiña;1;159;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5019511;CONCEJAL;5;Potosí;11;José María Linares;1;Puna;3154;Chacabuco (Estancia Chinoli);563;U.E. Gerardo Maldini de Chacabuco (Estacion Chinoli);1;240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5019521;CONCEJAL;5;Potosí;11;José María Linares;1;Puna;3154;Chacabuco (Estancia Chinoli);563;U.E. Gerardo Maldini de Chacabuco (Estacion Chinoli);2;84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5019531;CONCEJAL;5;Potosí;11;José María Linares;1;Puna;3274;Capaña;1;U.E. Jose Maria Linares A;1;240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5019541;CONCEJAL;5;Potosí;11;José María Linares;1;Puna;3274;Capaña;1;U.E. Jose Maria Linares A;2;161;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5019551;CONCEJAL;5;Potosí;11;José María Linares;1;Puna;3392;Vilamani;1;U.E. Vilamani;1;156;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5019561;CONCEJAL;5;Potosí;11;José María Linares;1;Puna;4255;Cala Cala;25939;U. E. Marcelino Aguirre;1;240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5019571;CONCEJAL;5;Potosí;11;José María Linares;1;Puna;4255;Cala Cala;25939;U. E. Marcelino Aguirre;2;76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
